Fold_time: 0.25, dim_embed: 24, lstm_hidden_size:64, lstm_num_layers: 2, Testing - Loss: 1.7771 Precision: 0.9383, Recall: 0.8149, F1: 0.8436
Fold_time: 0.25, dim_embed: 24, lstm_hidden_size:64, lstm_num_layers: 3, Testing - Loss: 1.1106 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 24, lstm_hidden_size:128, lstm_num_layers: 1, Testing - Loss: 1.4200 Precision: 0.9699, Recall: 0.4978, F1: 0.6141
Fold_time: 0.25, dim_embed: 24, lstm_hidden_size:128, lstm_num_layers: 2, Testing - Loss: 0.9847 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 24, lstm_hidden_size:128, lstm_num_layers: 3, Testing - Loss: 0.9464 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.25, dim_embed: 24, lstm_hidden_size:256, lstm_num_layers: 1, Testing - Loss: 2.9525 Precision: 0.0421, Recall: 1.0000, F1: 0.0803
Fold_time: 0.5, dim_embed: 6, lstm_hidden_size:64, lstm_num_layers: 1, Testing - Loss: 1.2561 Precision: 0.8572, Recall: 0.5563, F1: 0.5693
Fold_time: 0.5, dim_embed: 6, lstm_hidden_size:64, lstm_num_layers: 2, Testing - Loss: 1.3990 Precision: 0.9420, Recall: 0.5725, F1: 0.6518
Fold_time: 0.5, dim_embed: 6, lstm_hidden_size:64, lstm_num_layers: 1, Testing - Loss: 1.2561 Precision: 0.8572, Recall: 0.5563, F1: 0.5693
Fold_time: 0.5, dim_embed: 6, lstm_hidden_size:64, lstm_num_layers: 1, Testing - Loss: 1.3085 Precision: 0.9079, Recall: 0.5530, F1: 0.6155
Fold_time: 0.5, dim_embed: 6, lstm_hidden_size:64, lstm_num_layers: 2, Testing - Loss: 1.9415 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.5, dim_embed: 6, lstm_hidden_size:64, lstm_num_layers: 3, Testing - Loss: 1.4941 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.5, dim_embed: 6, lstm_hidden_size:128, lstm_num_layers: 1, Testing - Loss: 1.0487 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.5, dim_embed: 6, lstm_hidden_size:128, lstm_num_layers: 2, Testing - Loss: 1.1217 Precision: 0.9675, Recall: 0.5660, F1: 0.6663
Fold_time: 0.5, dim_embed: 6, lstm_hidden_size:128, lstm_num_layers: 3, Testing - Loss: 1.6119 Precision: 1.0000, Recall: 0.3864, F1: 0.5463
Fold_time: 0.5, dim_embed: 6, lstm_hidden_size:256, lstm_num_layers: 1, Testing - Loss: 1.1194 Precision: 0.5213, Recall: 0.8301, F1: 0.4988
